id_cliente;nome_cliente;cnpj;tipo_cliente;uf;uf_nome;cidade;limite_credito_brl;data_cadastro
1;Forte Veiculos 25;96.998.120/0001-26;Oficina;ES;Espirito Santo;Vitoria;13644;11/04/2020
2;Centro Motors 85;59.379.535/0001-78;Frotista;SP;Sao Paulo;Sorocaba;129769;04/12/2020
3;Garagem Motors 34;63.394.578/0001-32;Oficina;PE;Pernambuco;Olinda;13206;03/06/2021
4;Real Atacado 36;37.336.105/0001-21;Oficina;RJ;Rio de Janeiro;Nova Iguacu;20955;13/09/2020
5;Premium Veiculos 24;55.966.260/0001-55;Varejo Peca;RS;Rio Grande do Sul;Caxias do Sul;57982;06/02/2020
6;Nacional Center 72;37.683.401/0001-82;Oficina;RS;Rio Grande do Sul;;19527;29/09/2021
7;Imports Autopecas 56;97.161.877/0001-55;Oficina;RS;Rio Grande do Sul;;6768;18/03/2022
8;Imports Diesel 9;50.265.367/0001-42;Varejo Peca;RS;Rio Grande do Sul;Porto Alegre;23134;24/11/2022
9;Auto Pecas 13;49.225.196/0001-97;Oficina;SP;Sao Paulo;Santos;8175;07/02/2020
10;King Diesel 81;88.138.513/0001-50;Oficina;PR;Parana;Londrina;17404;15/01/2022
11;Royal Autopecas 88;74.797.357/0001-59;Concessionaria;PR;Parana;Londrina;118571;12/08/2021
12;Santa Comercio 4;52.396.844/0001-25;Oficina;ES;Espirito Santo;Vila Velha;9191;01/08/2021
13;Auto Atacado 44;17.838.215/0001-30;Varejo Peca;BA;Bahia;Feira de Santana;18267;24/07/2022
14;Nacional Veiculos 84;64.692.229/0001-55;Varejo Peca;SP;Sao Paulo;Campinas;23717;02/12/2020
15;Sao Truck 17;13.777.834/0001-79;Atacadista;MG;Minas Gerais;Uberlandia;95867;20/02/2020
16;Distribuidora Pecas 3;71.527.370/0001-50;Atacadista;MG;Minas Gerais;Juiz de Fora;119208;22/06/2022
17;Casa Atacado 5;75.939.371/0001-53;Oficina;ES;Espirito Santo;Serra;17305;01/05/2020
18;Premium Pecas 81;70.159.327/0001-96;Oficina;BA;Bahia;Feira de Santana;24519;25/05/2020
