id_venda;id_pedido;data_venda;id_cliente;id_produto;quantidade;preco_tabela_brl;desconto_pct;preco_unitario_brl;valor_bruto_brl;valor_desconto_brl;valor_liquido_brl;custo_total_brl;canal_venda;forma_pagamento
1;100001;01/05/2023;125;31;6;604,39;7,46;559,30;3626,34;270,54;3355,80;1829,41;Vendedor Externo;Antecipado
2;100001;01/05/2023;125;11;6;2101,99;7,67;1940,76;12611,94;967,37;11644,57;8097,71;Vendedor Externo;Antecipado
3;100001;2023-05-01;125;4;2;69,76;6,55;65,19;139,52;9,14;130,38;75,80;Vendedor Externo;Antecipado
4;100001;2023-05-01;125;38;4;1288,45;6,01;1211,02;5153,80;309,70;4844,10;2696,30;Vendedor Externo;Antecipado
5;100001;01/05/2023;125;15;12;1930,27;11,03;1717,41;23163,24;2554,36;20608,88;14872,40;Vendedor Externo;Antecipado
6;100001;01/05/2023;125;28;4;116,53;6,96;108,42;466,12;32,46;433,66;219,48;Vendedor Externo;Antecipado
7;100001;01/05/2023;125;19;2;536,90;0,61;533,63;1073,80;6,54;1067,26;606,72;Vendedor Externo;Antecipado
8;100002;2023-05-01;75;34;2;428,50;6,34;401,32;857,00;54,36;802,64;432,34;Site;Boleto 30
9;100002;01/05/2023;75;40;1;365,46;6,90;340,24;365,46;25,22;340,24;191,20;Site;Boleto 30
10;100003;2023-05-01;179;10;6;359,05;9,26;325,81;2154,30;199,46;1954,84;1267,94;Televendas;Boleto 30/60/90
11;100003;2023-05-01;179;20;2;2207,01;6,73;2058,42;4414,02;297,17;4116,85;2494,01;Televendas;Boleto 30/60/90
12;100003;01/05/2023;179;22;4;1642,25;;1584,78;6569,00;229,86;6339,14;4883,72;Televendas;Boleto 30/60/90
13;100003;2023-05-01;179;30;6;213,10;11,45;188,69;1278,60;146,43;1132,17;602,02;Televendas;Boleto 30/60/90
14;100003;2023-05-01;179;16;12;1747,20;9,55;1580,42;20966,40;2001,33;18965,07;11846,44;Televendas;
15;100004;2023-05-01;7;12;1;3017,53;4,31;2887,36;3017,53;130,17;2887,36;1937,46;Televendas;PIX
16;100004;01/05/2023;7;7;2;439,55;2,21;429,82;879,10;19,46;859,64;517,40;Televendas;PIX
17;100005;01/05/2023;170;2;1;149,40;0,00;149,40;149,40;0,00;149,40;81,17;Televendas;Boleto 30/60/90
18;100005;01/05/2023;170;25;1;1618,05;0,09;1616,62;1618,05;1,43;1616,62;1202,93;Televendas;Boleto 30/60/90
19;100005;01/05/2023;170;35;1;808,52;2,96;784,58;808,52;23,94;784,58;407,88;Televendas;Boleto 30/60/90
20;100005;01/05/2023;170;37;1;1133,17;7,30;1050,40;1133,17;82,77;1050,40;592,84;Televendas;Boleto 30/60/90
21;100006;2023-05-01;190;34;1;428,50;3,16;414,98;428,50;13,52;414,98;216,17;Vendedor Externo;Boleto 30/60/90
22;100006;2023-05-01;190;15;4;1930,27;0,72;1916,40;7721,08;55,46;7665,62;4957,47;Vendedor Externo;Boleto 30/60/90
23;100007;2023-05-01;128;30;12;213,10;7,87;196,33;2557,20;201,20;2356,00;1204,04;Televendas;Boleto 30/60/90
24;100007;01/05/2023;128;14;6;2797,54;11,95;2463,27;16785,24;2005,61;14779,63;10777,27;Televendas;Boleto 30/60/90
25;100007;01/05/2023;128;3;4;143,04;9,39;129,60;572,16;53,75;518,41;310,85;Televendas;Boleto 30/60/90
26;100007;2023-05-01;128;26;2;225,73;10,90;201,13;451,46;49,19;402,27;212,57;Televendas;Boleto 30/60/90
27;100007;01/05/2023;128;2;6;149,40;8,51;136,68;896,40;76,31;820,09;486,99;Televendas;Boleto 30/60/90
28;100008;01/05/2023;38;3;24;143,04;12,82;124,70;3432,96;440,19;2992,77;1865,11;Televendas;Boleto 30
29;100008;01/05/2023;38;12;12;3017,53;13,86;2599,41;36210,36;5017,38;31192,98;23249,53;Televendas;Boleto 30
30;100008;01/05/2023;38;17;6;1251,77;18,59;1019,03;7510,62;1396,43;6114,19;4243,65;Televendas;Boleto 30
31;100008;01/05/2023;38;10;48;359,05;13,00;312,39;17234,40;2239,72;14994,68;10143,52;Televendas;Boleto 30
32;100008;01/05/2023;38;39;24;1299,96;9,45;1177,06;31199,04;2949,54;28249,50;16322,35;Televendas;Boleto 30
33;100008;01/05/2023;38;20;6;2207,01;14,80;1880,47;13242,06;1959,23;11282,83;7482,03;Televendas;Boleto 30
